,Date_Time,gps.lat,gps.lon,altitudeRelative,Concentration,TransDate,Test_name,Experiment,Transect,Distance,Transect_Num,Height,Dist_Travelled,Transect_Dist,Time_Elapsed,Peak_Dist
0,0,-18.8518595,147.7184538,14.4,286.7328158,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85185942,147.7184538,14.4,237.1054141,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85185934,147.7184538,14.4,226.2795772,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85185926,147.7184539,14.4,235.3010592,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85185918,147.7184539,14.4,246.1274811,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.8518591,147.7184539,14.4,248.9881724,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85185824,147.7184541,14.4,249.88772,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85185738,147.7184544,14.4,261.5822801,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85185652,147.7184546,14.4,272.3779855,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85185566,147.7184549,14.4,246.2895587,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.8518548,147.7184551,14.4,256.1846891,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85185348,147.7184555,14.4,249.88772,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85185216,147.7184559,14.4,258.8834628,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85185084,147.7184562,14.4,267.8796901,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85184952,147.7184566,14.4,308.3687109,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.8518482,147.718457,14.4,264.1730777,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85184758,147.7184572,14.4,286.7328158,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85184696,147.7184574,14.4,255.1500356,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85184634,147.7184575,14.4,259.6614957,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85184572,147.7184577,14.4,270.4894972,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.8518451,147.7184579,14.3,258.8834628,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85184446,147.7184581,14.3,257.0842755,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85184382,147.7184584,14.3,263.3815159,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85184318,147.7184586,14.3,256.1846891,0,0,Exp1,0,0,0,0,0,0,0,0
0,0,-18.85184254,147.7184589,14.3,280.4752226,0,0,Exp1,0,0,0,0,0,0,0,0
