,x,y,z,Concentration
0,0.1,-1000.0,0.0,459170115094.1747
1,0.1,-1000.0,10.0,459170115094.1747
2,0.1,-1000.0,20.0,459170115094.1747
3,0.1,-1000.0,30.0,459170115094.1747
4,0.1,-1000.0,40.0,459170115094.1747
5,0.1,-1000.0,50.0,459170115094.1747
6,0.1,-1000.0,60.0,459170115094.1747
7,0.1,-1000.0,70.0,459170115094.1747
8,0.1,-1000.0,80.0,459170115094.1747
9,0.1,-1000.0,90.0,459170115094.1747
10,0.1,-1000.0,100.0,459170115094.1747
11,0.1,-1000.0,110.0,459170115094.1747
12,0.1,-1000.0,120.0,459170115094.1747
13,0.1,-1000.0,130.0,459170115094.1747
14,0.1,-1000.0,140.0,459170115094.1747
15,0.1,-1000.0,150.0,459170115094.1747
16,0.1,-1000.0,160.0,459170115094.1747
17,0.1,-1000.0,170.0,459170115094.1747
18,0.1,-1000.0,180.0,459170115094.1747
19,0.1,-1000.0,190.0,459170115094.1747
20,0.1,-1000.0,200.0,459170115094.1747
21,60.095000000000006,-1000.0,0.0,459170115094.1747
22,60.095000000000006,-1000.0,10.0,459170115094.1747
23,60.095000000000006,-1000.0,20.0,459170115094.1747
24,60.095000000000006,-1000.0,30.0,459170115094.1747
25,60.095000000000006,-1000.0,40.0,459170115094.1747
26,60.095000000000006,-1000.0,50.0,459170115094.1747
27,60.095000000000006,-1000.0,60.0,459170115094.1747
28,60.095000000000006,-1000.0,70.0,459170115094.1747
29,60.095000000000006,-1000.0,80.0,459170115094.1747
30,60.095000000000006,-1000.0,90.0,459170115094.1747
31,60.095000000000006,-1000.0,100.0,459170115094.1747
32,60.095000000000006,-1000.0,110.0,459170115094.1747
33,60.095000000000006,-1000.0,120.0,459170115094.1747
34,60.095000000000006,-1000.0,130.0,459170115094.1747
35,60.095000000000006,-1000.0,140.0,459170115094.1747
36,60.095000000000006,-1000.0,150.0,459170115094.1747
37,60.095000000000006,-1000.0,160.0,459170115094.1747
38,60.095000000000006,-1000.0,170.0,459170115094.1747
39,60.095000000000006,-1000.0,180.0,459170115094.1747
40,60.095000000000006,-1000.0,190.0,459170115094.1747
41,60.095000000000006,-1000.0,200.0,459170115094.1747
42,120.09,-1000.0,0.0,459170115094.1747
43,120.09,-1000.0,10.0,459170115094.1747
44,120.09,-1000.0,20.0,459170115094.1747
45,120.09,-1000.0,30.0,459170115094.1747
46,120.09,-1000.0,40.0,459170115094.1747
47,120.09,-1000.0,50.0,459170115094.1747
48,120.09,-1000.0,60.0,459170115094.1747
49,120.09,-1000.0,70.0,459170115094.1747
50,120.09,-1000.0,80.0,459170115094.1747
51,120.09,-1000.0,90.0,459170115094.1747
52,120.09,-1000.0,100.0,459170115094.1747
53,120.09,-1000.0,110.0,459170115094.1747
54,120.09,-1000.0,120.0,459170115094.1747
55,120.09,-1000.0,130.0,459170115094.1747
56,120.09,-1000.0,140.0,459170115094.1747
57,120.09,-1000.0,150.0,459170115094.1747
58,120.09,-1000.0,160.0,459170115094.1747
59,120.09,-1000.0,170.0,459170115094.1747
60,120.09,-1000.0,180.0,459170115094.1747
61,120.09,-1000.0,190.0,459170115094.1747
62,120.09,-1000.0,200.0,459170115094.1747
