,current_params,proposed_params,current_log_likelihood,proposed_log_likelihood,step_forward_log_probs,step_backward_log_probs,current_log_posterior,proposed_log_posterior,alpha,accepted
0,"[0.1, 0.1, 30000000000000.0]","[0.09451891979279353, 0.10647294746675949, 30417656079423.312]",-211.35586263707472,-219.79676918235103,-21.642657420742058,-21.610141292566883,-211.35586263707472,-219.79676918235103,0.00022298848667409688,False
1,"[0.1, 0.1, 30000000000000.0]","[0.09665473396847979, 0.09142706563160488, 30246402013892.316]",-211.35586263707472,-213.1035150498064,-21.54113614076157,-21.72617602715765,-211.35586263707472,-213.1035150498064,0.14475794169518816,False
2,"[0.1, 0.1, 30000000000000.0]","[0.08730344605317043, 0.10595460908866447, 28209198672709.816]",-211.35586263707472,-269.8100213149013,-23.76208355992934,-23.777350813475294,-211.35586263707472,-269.8100213149013,4.046233654050306e-26,False
3,"[0.1, 0.1, 30000000000000.0]","[0.10134345253053205, 0.07643145960110594, 29016934410193.926]",-211.35586263707472,-213.57542511701337,-24.702522516478997,-24.262772508190203,-211.35586263707472,-213.57542511701337,0.1686697746675492,False
4,"[0.1, 0.1, 30000000000000.0]","[0.10445466682087455, 0.09261577468659067, 29505306596341.418]",-211.35586263707472,-215.76998440808237,-21.63643739396979,-21.711184329604897,-211.35586263707472,-215.76998440808237,0.011233344832331665,False
5,"[0.1, 0.1, 30000000000000.0]","[0.0980823502265446, 0.09749054564769179, 29663108119464.57]",-211.35586263707472,-212.10305054954114,-21.231010419049642,-21.34083429370006,-211.35586263707472,-212.10305054954114,0.42442847188226157,False
6,"[0.1, 0.1, 30000000000000.0]","[0.09974652751821912, 0.08861937463343678, 29827101974037.234]",-211.35586263707472,-211.5216418553882,-21.76678669498857,-21.920830598959217,-211.35586263707472,-211.5216418553882,0.7262774880164766,False
7,"[0.1, 0.1, 30000000000000.0]","[0.0987273573386559, 0.09729925732099043, 29175603623970.73]",-211.35586263707472,-211.72434538695381,-21.502683170926094,-21.624765046132936,-211.35586263707472,-211.72434538695381,0.6122805875886805,True
8,"[0.0987273573386559, 0.09729925732099043, 29175603623970.73]","[0.09692209593685706, 0.10399204275632401, 28042693129667.79]",-211.72434538695381,-214.8969955614994,-22.07734342067276,-22.045923366775565,-211.72434538695381,-214.8969955614994,0.043229587572818355,False
9,"[0.0987273573386559, 0.09729925732099043, 29175603623970.73]","[0.08694148634642863, 0.0896550468939659, 28605336783413.83]",-211.72434538695381,-264.5575520748532,-22.17911092566827,-22.482980780455843,-211.72434538695381,-264.5575520748532,8.372610211994255e-24,False
10,"[0.0987273573386559, 0.09729925732099043, 29175603623970.73]","[0.11411683248282191, 0.10245986214156864, 30165293699564.684]",-211.72434538695381,-238.37796139963632,-23.090721002074346,-22.89037487512939,-211.72434538695381,-238.37796139963632,3.247064086899678e-12,False
11,"[0.0987273573386559, 0.09729925732099043, 29175603623970.73]","[0.0968896596739203, 0.10482937128397998, 30895659176342.043]",-211.72434538695381,-213.7478960696316,-23.002758159343543,-22.917334507735244,-211.72434538695381,-213.7478960696316,0.1439733550259028,False
12,"[0.0987273573386559, 0.09729925732099043, 29175603623970.73]","[0.09538798054667973, 0.08220034696356722, 30556936664457.152]",-211.72434538695381,-214.17755737692792,-23.278045341449726,-23.391887355267578,-211.72434538695381,-214.17755737692792,0.07676135129882422,False
13,"[0.0987273573386559, 0.09729925732099043, 29175603623970.73]","[0.07398971688231921, 0.08810846955002724, 30299309687531.83]",-211.72434538695381,-568.32018118571,-25.587349188201003,-25.085514029706736,-211.72434538695381,-568.32018118571,2.2404769645769587e-155,False
14,"[0.0987273573386559, 0.09729925732099043, 29175603623970.73]","[0.10278005513624847, 0.0933350801315828, 27796842961041.703]",-211.72434538695381,-212.7183731135473,-22.27180811085502,-22.310074633005605,-211.72434538695381,-212.7183731135473,0.3561888366469817,False
15,"[0.0987273573386559, 0.09729925732099043, 29175603623970.73]","[0.09776074700582779, 0.1251736187590641, 27958943998998.99]",-211.72434538695381,-216.33097890029944,-25.417705593789307,-26.282572895730734,-211.72434538695381,-216.33097890029944,0.004204916616812805,False
16,"[0.0987273573386559, 0.09729925732099043, 29175603623970.73]","[0.10934769697193919, 0.08281842868763935, 27915377663215.95]",-211.72434538695381,-227.99260552022218,-23.58613263954446,-23.597290701399217,-211.72434538695381,-227.99260552022218,8.510175360942813e-08,False
17,"[0.0987273573386559, 0.09729925732099043, 29175603623970.73]","[0.09340207780988628, 0.12057179033033599, 30454245649006.758]",-211.72434538695381,-227.08756064660798,-24.66400275648435,-25.071190442869366,-211.72434538695381,-227.08756064660798,1.4157971153970632e-07,False
18,"[0.0987273573386559, 0.09729925732099043, 29175603623970.73]","[0.10232992863062465, 0.09124796088414545, 30730876674070.89]",-211.72434538695381,-213.46341199688598,-22.62540884005982,-22.649509918197186,-211.72434538695381,-213.46341199688598,0.171500741620187,False
19,"[0.0987273573386559, 0.09729925732099043, 29175603623970.73]","[0.10455456587519682, 0.09706369265113544, 28181003091037.895]",-211.72434538695381,-214.65763263972786,-21.869380702624525,-21.818929995716616,-211.72434538695381,-214.65763263972786,0.055975759621234425,False
20,"[0.0987273573386559, 0.09729925732099043, 29175603623970.73]","[0.10279838862270084, 0.09613523580057336, 27887697063985.832]",-211.72434538695381,-212.55448378204227,-22.1046364537077,-22.09258134159018,-211.72434538695381,-212.55448378204227,0.44127664690529594,False
21,"[0.0987273573386559, 0.09729925732099043, 29175603623970.73]","[0.10367992744433646, 0.10567204553899609, 28576674183431.992]",-211.72434538695381,-212.9632298514619,-21.922244661978297,-21.742156210508934,-211.72434538695381,-212.9632298514619,0.3468731898176638,False
22,"[0.0987273573386559, 0.09729925732099043, 29175603623970.73]","[0.10211460782126566, 0.10227614269498751, 29631219966422.754]",-211.72434538695381,-212.03459160403534,-21.557036359381456,-21.37162773759763,-211.72434538695381,-212.03459160403534,0.8826402358700232,True
23,"[0.10211460782126566, 0.10227614269498751, 29631219966422.754]","[0.1061597856541561, 0.10384532269560436, 30009094216915.156]",-212.03459160403534,-217.34613975453826,-21.408633858915262,-21.28074707097081,-212.03459160403534,-217.34613975453826,0.005607437919775333,False
24,"[0.10211460782126566, 0.10227614269498751, 29631219966422.754]","[0.10092168556511535, 0.10613322450564962, 28502058387141.22]",-212.03459160403534,-211.45476339611795,-21.899516403850324,-21.897189957575396,-212.03459160403534,-211.45476339611795,1.7898908747944557,True
25,"[0.10092168556511535, 0.10613322450564962, 28502058387141.22]","[0.09820647460411167, 0.11949308637941332, 27286857700554.79]",-211.45476339611795,-215.13232184182468,-22.848414864746022,-22.84975057709031,-211.45476339611795,-215.13232184182468,0.02525088288698142,True
26,"[0.09820647460411167, 0.11949308637941332, 27286857700554.79]","[0.09650301976680796, 0.11998460069675367, 26585187110984.91]",-215.13232184182468,-219.6150933257688,-21.40596942376724,-21.476006669635407,-215.13232184182468,-219.6150933257688,0.010537565605012837,False
27,"[0.09820647460411167, 0.11949308637941332, 27286857700554.79]","[0.10512909734560315, 0.12370730644439235, 26142813887872.19]",-215.13232184182468,-213.27056355311694,-22.22798781103925,-22.09645102859882,-215.13232184182468,-213.27056355311694,7.339678724380954,True
