CMDLINE python test.py
MEM 4.882812 1691073750.1106
MEM 10.839844 1691073750.2113
MEM 15.789062 1691073750.3117
MEM 20.058594 1691073750.4120
MEM 28.000000 1691073750.5123
MEM 34.808594 1691073750.6127
MEM 41.601562 1691073750.7130
MEM 47.585938 1691073750.8132
MEM 50.484375 1691073750.9135
MEM 56.906250 1691073751.0140
MEM 62.359375 1691073751.1143
MEM 68.492188 1691073751.2147
MEM 72.765625 1691073751.3151
MEM 75.316406 1691073751.4156
MEM 77.261719 1691073751.5160
MEM 79.812500 1691073751.6163
MEM 85.765625 1691073751.7167
MEM 90.980469 1691073751.8170
MEM 96.652344 1691073751.9174
MEM 98.714844 1691073752.0177
MEM 103.097656 1691073752.1181
MEM 105.699219 1691073752.2184
MEM 110.304688 1691073752.3187
MEM 114.757812 1691073752.4190
MEM 120.191406 1691073752.5194
MEM 125.621094 1691073752.6197
MEM 127.437500 1691073752.7203
MEM 131.296875 1691073752.8207
MEM 136.175781 1691073752.9210
MEM 140.238281 1691073753.0213
MEM 149.246094 1691073753.1217
MEM 166.574219 1691073753.2220
MEM 174.789062 1691073753.3223
MEM 181.492188 1691073753.4226
MEM 186.285156 1691073753.5230
MEM 189.378906 1691073753.6233
MEM 193.871094 1691073753.7236
MEM 198.746094 1691073753.8239
MEM 205.156250 1691073753.9242
MEM 211.343750 1691073754.0246
MEM 229.726562 1691073754.1249
MEM 242.765625 1691073754.2253
MEM 254.417969 1691073754.3257
MEM 260.820312 1691073754.4262
MEM 266.367188 1691073754.5265
MEM 272.171875 1691073754.6269
MEM 280.070312 1691073754.7273
MEM 283.542969 1691073754.8276
MEM 287.664062 1691073754.9279
MEM 289.468750 1691073755.0283
MEM 292.351562 1691073755.1286
MEM 293.300781 1691073755.2296
MEM 297.445312 1691073755.3299
MEM 303.632812 1691073755.4303
MEM 308.273438 1691073755.5306
MEM 308.941406 1691073755.6311
MEM 309.199219 1691073755.7314
MEM 309.457031 1691073755.8319
MEM 309.457031 1691073755.9324
MEM 309.804688 1691073756.0327
MEM 313.261719 1691073756.1331
MEM 315.410156 1691073756.2335
MEM 317.769531 1691073756.3340
MEM 319.781250 1691073756.4344
MEM 323.343750 1691073756.5348
MEM 323.601562 1691073756.6352
MEM 323.859375 1691073756.7356
MEM 327.304688 1691073756.8360
MEM 331.687500 1691073756.9366
MEM 332.023438 1691073757.0372
MEM 332.281250 1691073757.1377
MEM 334.382812 1691073757.2383
MEM 334.148438 1691073757.3387
MEM 334.148438 1691073757.4391
MEM 334.148438 1691073757.5396
MEM 334.906250 1691073757.6400
MEM 334.906250 1691073757.7404
MEM 334.906250 1691073757.8408
MEM 334.906250 1691073757.9413
MEM 337.175781 1691073758.0419
MEM 337.175781 1691073758.1424
MEM 337.175781 1691073758.2429
MEM 337.433594 1691073758.3434
MEM 340.062500 1691073758.4437
MEM 342.125000 1691073758.5442
MEM 343.929688 1691073758.6446
MEM 345.992188 1691073758.7451
MEM 347.023438 1691073758.8454
MEM 348.570312 1691073758.9458
MEM 349.343750 1691073759.0463
MEM 350.890625 1691073759.1469
MEM 351.664062 1691073759.2474
MEM 353.210938 1691073759.3478
MEM 353.726562 1691073759.4483
MEM 355.328125 1691073759.5488
MEM 357.542969 1691073759.6492
MEM 359.089844 1691073759.7496
